,srch_id,date_time,site_id,visitor_location_country_id,visitor_hist_starrating,visitor_hist_adr_usd,prop_country_id,prop_id,prop_starrating,prop_review_score,prop_brand_bool,prop_location_score1,prop_location_score2,prop_log_historical_price,position,price_usd,promotion_flag,srch_destination_id,srch_length_of_stay,srch_booking_window,srch_adults_count,srch_children_count,srch_room_count,srch_saturday_night_bool,srch_query_affinity_score,orig_destination_distance,random_bool,comp1_rate,comp1_inv,comp1_rate_percent_diff,comp2_rate,comp2_inv,comp2_rate_percent_diff,comp3_rate,comp3_inv,comp3_rate_percent_diff,comp4_rate,comp4_inv,comp4_rate_percent_diff,comp5_rate,comp5_inv,comp5_rate_percent_diff,comp6_rate,comp6_inv,comp6_rate_percent_diff,comp7_rate,comp7_inv,comp7_rate_percent_diff,comp8_rate,comp8_inv,comp8_rate_percent_diff,click_bool,gross_bookings_usd,booking_bool
1225936,82005,2013-02-04 22:26:33,32,98,,,219,78647,3,4.0,0,5.18,0.3365,5.41,33,99.16,0,9402,2,7,1,0,1,0,,,0,,,,0.0,0.0,10.0,0.0,0.0,,,,,0.0,0.0,69.0,,,,,,,0.0,0.0,,0,,0
1198955,80144,2013-04-23 13:07:49,5,219,,,219,79868,2,4.0,0,1.61,0.0006,4.82,25,109.0,0,9402,2,55,2,0,1,0,,2528.56,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
944703,63093,2013-01-24 12:09:11,5,219,,,219,117068,3,4.0,0,0.69,0.0606,4.59,4,89.0,0,16701,2,40,1,1,1,0,,108.92,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1618944,108781,2013-02-20 16:22:30,5,219,,,219,38837,2,3.0,1,2.08,0.0151,4.47,22,44.0,1,26067,1,11,2,0,1,0,,113.26,0,,,,1.0,0.0,25.0,0.0,0.0,,,,,1.0,0.0,34.0,,,,,,,0.0,0.0,,0,,0
1862985,125038,2012-11-02 12:36:55,16,31,,,31,36646,4,4.0,0,1.39,0.0024,4.94,4,82.17,1,6785,1,0,2,0,1,1,,332.82,0,,,,,,,,,,,,,1.0,0.0,12.0,1.0,0.0,5.0,1.0,0.0,12.0,,,,0,,0
4800131,322092,2013-05-07 19:27:23,5,219,,,219,61529,4,4.5,1,5.7,0.5823,5.8,4,242.0,0,24700,3,33,2,2,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
761799,50898,2012-12-07 13:06:32,5,219,,,219,115379,2,2.5,0,0.69,0.0189,3.91,21,39.0,0,27189,1,1,2,0,1,1,,82.3,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
3716043,249541,2012-12-22 16:39:34,5,219,,,219,82404,4,4.5,1,3.3,0.0413,5.6,24,129.0,0,11180,1,11,2,0,1,0,-48.601000000000006,141.78,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4400005,295270,2013-02-22 13:51:24,5,219,,,219,105781,3,4.0,1,1.39,,4.66,9,76.0,0,27794,1,42,2,2,1,1,,215.89,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1175980,78608,2013-04-05 15:41:29,5,219,,,219,110714,3,5.0,1,3.37,0.215,5.3,15,110.0,0,15534,1,1,2,0,1,1,,2.08,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3302995,221770,2013-05-21 21:46:57,5,219,,,219,17619,3,4.0,0,1.61,0.0042,4.62,31,109.0,0,13539,1,4,6,2,3,1,,151.86,0,,,,0.0,0.0,9.0,0.0,0.0,9.0,,,,0.0,0.0,,,,,,,,0.0,0.0,9.0,0,,0
1779480,119513,2013-01-01 23:39:49,24,216,,,23,89871,4,4.5,0,3.78,,5.65,7,277.21,0,18528,2,115,1,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3249868,218228,2013-03-17 19:16:39,5,219,,,219,4298,3,4.5,1,1.39,0.0293,4.77,2,95.0,1,9179,1,16,2,2,1,0,,549.57,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0,,0
4437886,297802,2013-06-04 14:45:03,32,220,,,220,1696,4,3.5,0,5.04,0.4568,0.0,8,138.96,1,10757,4,8,1,1,1,0,-26.0201,208.42,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0,,0
3018775,202683,2013-05-30 20:18:11,32,220,,,220,65640,5,3.0,1,4.41,0.4721,5.77,13,192.27,0,13241,2,29,3,0,3,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1059543,70770,2013-03-01 08:06:25,5,158,,,219,56820,2,3.5,0,1.95,0.0072,5.08,32,119.0,0,7512,1,2,1,0,1,0,,7615.52,1,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
3017993,202615,2013-06-15 08:01:28,31,219,,,219,131242,4,4.5,1,4.89,0.0517,0.0,18,431.0,1,9402,1,11,1,0,1,0,,2447.82,0,,,,,1.0,,,1.0,,,,,1.0,0.0,2.0,,,,,,,1.0,0.0,2.0,0,,0
3791120,254596,2013-02-23 13:24:10,5,219,,,219,95511,2,3.5,1,1.1,0.005,4.63,2,119.0,0,7516,2,26,2,3,1,1,,1067.45,0,,,,-1.0,0.0,7.0,-1.0,0.0,7.0,,,,-1.0,0.0,15.0,,,,,,,-1.0,0.0,15.0,0,,0
4483540,300815,2013-04-15 16:54:11,5,219,,,99,82772,2,3.5,1,4.23,0.0793,4.51,20,80.0,0,2219,1,133,2,0,1,0,,4091.9,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2369454,159114,2013-05-30 09:44:27,5,219,,,219,65510,0,4.5,1,2.77,0.1616,4.59,6,90.0,0,26912,1,9,2,2,1,1,,,0,,,,1.0,0.0,12.0,1.0,0.0,11.0,,,,,,,,,,,,,,,,0,,0
3795533,254899,2012-11-08 16:19:14,5,219,,,219,90946,3,4.5,1,2.08,0.0228,5.07,34,80.0,0,19626,1,85,2,0,1,1,,1071.81,1,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0,,0
1752282,117640,2013-05-21 07:10:05,5,219,,,219,47752,3,5.0,1,0.69,,4.97,25,149.0,0,23046,2,0,2,0,1,0,-20.6468,263.66,0,,,,,,,-1.0,0.0,57.0,,,,,1.0,,,,,,,,0.0,0.0,,0,,0
2990082,200771,2012-11-28 15:10:00,5,219,,,219,89595,3,3.5,1,2.64,0.071,4.21,22,51.0,0,6325,1,2,2,0,1,1,-18.7854,,0,,,,0.0,0.0,,0.0,0.0,7.0,,,,1.0,0.0,24.0,,,,,,,0.0,0.0,,1,62.81,1
4016923,269513,2013-05-31 10:40:12,16,31,,,31,120733,0,0.0,0,3.3,0.0109,4.5,28,152.07,0,20002,3,29,2,1,1,1,,159.19,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1784026,119829,2013-04-24 19:57:14,5,219,,,219,121938,3,4.5,1,1.79,0.0026,5.24,7,139.0,0,7971,1,16,4,0,2,1,,,1,,,,-1.0,0.0,7.0,,,,,,,0.0,0.0,,,,,,,,-1.0,0.0,7.0,0,,0
965970,64517,2013-01-09 08:40:50,5,219,,,35,112514,3,4.5,1,0.0,0.0023,5.03,31,119.0,0,927,7,130,2,0,1,0,,2604.94,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4775746,320390,2013-03-20 17:45:47,24,216,2.5,206.4,219,75491,2,3.5,0,3.22,0.3696,5.51,20,276.53,0,12588,3,130,2,1,1,0,-4.7293,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4102832,275222,2013-01-04 19:00:33,5,219,,,219,134886,3,4.5,1,1.1,0.0825,4.73,8,94.0,0,27741,1,29,2,0,1,1,-14.8347,8.31,0,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,5.0,0,,0
3683167,247296,2013-06-18 05:49:52,5,219,,,219,57125,2,3.5,0,4.32,0.2105,0.0,9,109.0,0,13870,1,0,2,2,1,0,,93.74,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,10.0,,,,,,,0.0,0.0,,0,,0
715258,47849,2013-05-24 06:27:01,5,219,,,219,32079,3,4.0,0,1.39,,5.57,17,285.0,0,12823,5,35,2,1,1,0,,132.49,0,,,,0.0,0.0,,,,,,,,-1.0,0.0,7.0,,,,,,,,,,0,,0
3421310,229784,2013-03-28 01:18:36,5,219,,,219,120352,2,4.0,1,1.39,0.0186,4.42,15,59.0,0,4748,2,0,2,2,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,-1.0,1.0,14.0,,,,,,,-1.0,0.0,14.0,0,,0
531346,35508,2013-06-18 19:21:17,24,216,,,219,36612,4,4.5,1,4.81,0.4135,0.0,32,325.74,0,20319,2,0,2,0,1,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2396016,160880,2013-01-25 19:53:54,9,59,,,59,73642,4,3.5,0,2.64,,4.92,18,99.48,1,9549,3,7,2,0,1,1,,180.04,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
693878,46414,2013-06-14 19:56:25,5,219,,,219,98008,2,3.0,1,2.56,0.0525,0.0,27,54.0,0,18410,19,13,2,0,1,0,,604.17,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4106074,275456,2013-01-11 13:09:36,19,220,,,202,103654,4,3.0,0,0.69,0.0001,5.41,27,118.86,1,15122,5,136,2,0,1,0,,3739.7,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4883818,327799,2013-05-27 19:25:23,5,219,,,219,103667,4,4.5,1,2.56,,5.12,21,209.0,0,27124,3,12,2,2,1,1,,208.75,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
4218198,283073,2013-05-21 11:47:48,5,219,,,219,135195,5,5.0,1,4.81,0.366,6.21,36,355.0,0,20319,2,24,6,0,3,1,,4064.9,0,,,,0.0,0.0,,0.0,0.0,,,1.0,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1969609,132251,2013-05-19 16:26:17,5,219,,,219,36055,4,4.0,1,2.77,0.1253,4.84,4,95.0,0,15978,2,19,2,0,1,1,,282.62,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1676092,112587,2013-05-23 20:31:40,5,219,,,219,89114,3,5.0,1,1.79,0.0711,5.35,8,121.0,0,1335,10,15,2,0,1,0,,,0,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4733337,317561,2012-11-03 17:17:15,5,219,2.25,78.07,219,93666,3,3.5,1,0.69,0.0326,4.47,34,65.0,0,2731,4,6,2,0,1,1,,1753.61,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
4668680,313213,2013-03-04 19:42:02,5,219,,,219,24534,3,4.0,1,2.71,,4.71,9,90.0,1,22300,1,1,2,0,1,0,,175.05,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1661546,111595,2013-02-23 07:01:36,5,219,,,219,16765,3,4.5,1,3.0,0.0215,5.07,22,91.0,0,26067,3,1,2,0,1,0,,49.63,1,,,,0.0,1.0,,0.0,0.0,3.0,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
1761390,118273,2013-04-21 10:43:18,14,100,,,100,116094,4,4.5,1,3.61,0.1499,5.74,25,219.17,0,19215,3,26,2,0,1,1,,,0,,,,-1.0,0.0,21.0,,,,,,,1.0,0.0,13.0,,,,,,,-1.0,0.0,20.0,0,,0
4605833,309007,2012-11-08 03:30:34,5,98,,,205,100401,5,5.0,0,4.47,0.1038,5.81,30,258.0,1,28317,1,4,2,0,1,0,,,0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
2587720,173731,2012-11-14 05:52:40,5,219,,,219,6600,4,4.0,1,2.94,0.0449,5.3,10,159.0,0,10794,1,47,2,0,1,0,,4.77,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,0,,0
1048066,69961,2013-03-22 10:24:54,5,219,,,219,93356,3,5.0,1,1.1,0.0434,4.97,6,109.0,0,19994,2,0,1,1,1,1,,,0,,,,,,,1.0,0.0,3.0,,,,,,,,,,,,,0.0,0.0,,1,255.92,1
3974500,266777,2013-05-07 15:48:50,24,216,3.33,173.76,219,37731,2,4.0,0,3.33,0.085,4.45,5,67.22,0,2463,1,136,1,1,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
3560911,239127,2012-12-04 06:25:46,5,219,,,219,44343,2,2.5,1,1.79,0.0172,4.33,34,94.0,0,27197,3,217,2,0,1,0,,600.23,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2933714,197063,2012-11-28 15:45:18,12,99,,,99,59458,2,3.0,1,2.2,,4.6,22,66.06,0,14721,1,63,1,0,1,0,,,0,,,,,,,,,,,,,-1.0,0.0,5.0,,,,,,,,,,0,,0
396635,26561,2012-12-17 15:10:27,5,219,,,219,106166,3,4.5,1,2.71,0.0028,4.96,31,119.0,0,8347,2,76,2,0,1,0,,,1,,,,0.0,0.0,,,,,,,,,1.0,,,,,,,,,,,0,,0
4304605,288825,2013-01-17 18:37:17,1,13,,,4,58810,4,4.5,1,4.88,0.1259,5.61,19,290.48,1,18791,3,33,1,2,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,0.0,1.0,,,,,0,,0
560696,37476,2013-04-04 06:39:49,5,219,,,219,74102,2,4.0,1,1.79,,4.48,20,97.0,0,7619,1,16,2,0,1,1,-12.2406,141.0,0,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
1805884,121328,2012-12-06 17:04:02,5,219,,,219,81437,3,4.0,1,2.3,0.0155,5.0,21,98.0,0,23246,1,38,1,0,1,0,,2412.63,0,,,,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
178103,11957,2013-01-14 20:23:16,5,219,,,219,20774,3,4.5,1,1.1,0.002,4.89,22,79.0,0,15307,2,2,2,0,1,0,,1134.87,0,,,,0.0,0.0,27.0,0.0,0.0,27.0,,,,1.0,0.0,12.0,,,,,,,0.0,0.0,,0,,0
3175756,213223,2013-03-25 19:20:41,5,219,,,219,128834,3,4.5,1,2.08,0.0009,5.14,1,254.0,0,13870,3,3,2,3,1,1,-15.9169,570.3,0,,,,0.0,-1.0,,,,,,,,,,,,,,,,,,-1.0,,0,,0
4586454,307708,2013-03-14 10:37:38,24,216,,,99,87909,3,2.5,0,6.11,0.28300000000000003,5.19,2,278.67,0,23431,3,123,3,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
4540395,304592,2013-01-31 11:07:16,7,100,,,219,128839,5,4.5,1,4.37,,5.91,30,249.7,0,15153,1,2,2,0,1,1,,,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
3060364,205519,2013-02-11 14:26:20,5,219,,,219,46448,3,3.0,1,0.69,0.0492,4.42,2,114.0,0,6459,2,18,2,0,1,1,,180.37,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
3089017,207408,2013-02-20 07:29:35,15,55,,,132,51056,4,4.0,1,1.1,,4.66,29,73.13,0,9432,1,4,1,0,1,0,,,1,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,0,,0
723233,48365,2012-12-24 17:46:28,24,216,,,98,30219,4,4.0,0,4.44,0.0425,4.34,20,60.56,0,24731,1,11,1,0,1,1,,,0,,,,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,0,,0
3679199,247031,2013-02-26 12:32:41,5,219,,,219,105749,2,2.5,1,0.69,,4.16,15,71.0,0,3380,1,11,2,0,1,1,,1100.0,0,,,,-1.0,0.0,3.0,-1.0,0.0,13.0,,,,,,,,,,,,,-1.0,0.0,17.0,0,,0
190772,12815,2013-04-05 12:57:42,5,219,,,219,140166,0,0.0,0,0.0,,4.59,9,225.0,0,19186,1,111,2,0,1,1,-85.1169,230.89,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2408831,161730,2013-04-07 11:09:24,25,215,,,132,64145,2,3.5,0,2.56,0.0027,4.67,8,120.86,0,1815,1,23,2,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,-1.0,,,,,0,,0
1670736,112227,2012-12-04 12:15:56,5,219,,,219,18938,3,4.0,0,2.4,0.1533,5.03,2,81.0,1,8841,1,27,2,0,1,0,,11.81,1,,,,1.0,0.0,11.0,1.0,0.0,11.0,,,,-1.0,0.0,5.0,,,,,,,-1.0,0.0,5.0,1,,0
1493854,100131,2013-02-04 20:28:45,5,219,,,219,73776,2,1.5,1,2.2,0.0141,4.07,22,45.0,0,295,2,67,1,0,1,1,,84.67,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1294463,86707,2013-06-11 18:47:15,5,219,,,18,57012,4,4.0,0,2.08,0.0018,0.0,31,140.0,0,6695,7,175,1,0,1,0,,1460.36,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
2177600,146184,2013-04-19 22:01:32,24,117,,,81,88101,3,3.5,0,2.56,0.0128,4.24,30,57.02,1,28088,2,13,2,0,1,1,,,1,,,,-1.0,0.0,17.0,,,,-1.0,0.0,17.0,-1.0,0.0,17.0,,,,,,,,,,0,,0
1190889,79618,2013-02-25 19:01:27,5,219,,,219,90385,3,4.5,1,2.77,0.0258,4.4,18,64.0,0,10559,1,4,1,0,1,1,,76.2,0,,,,0.0,0.0,,0.0,0.0,,,,,1.0,0.0,7.0,,,,,,,0.0,0.0,,0,,0
872899,58298,2012-11-19 13:23:08,24,216,,,216,43864,0,0.0,0,3.18,,4.96,28,379.67,0,7543,1,23,1,0,1,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
614371,41044,2012-12-27 18:44:57,5,219,,,219,106746,2,3.0,1,2.4,,4.38,2,73.0,0,12167,1,63,2,0,1,1,,1222.01,1,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
1605619,107910,2013-05-01 08:15:40,5,219,,,219,72004,3,3.5,1,1.79,0.0449,5.23,26,158.0,0,27620,2,10,2,1,1,1,,113.33,1,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
4539022,304494,2013-02-16 07:36:58,5,219,,,219,47526,3,4.5,1,2.89,0.04,4.91,19,89.0,0,21344,1,21,2,0,1,1,,748.63,0,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,,0,,0
270723,18133,2013-02-20 13:48:53,5,219,,,219,89396,2,4.0,0,1.39,0.0813,4.45,20,80.0,0,3247,2,23,2,0,1,1,,,0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,,0,,0
4235526,284262,2012-12-29 09:53:44,14,100,,,206,52361,3,4.5,0,3.18,0.0882,4.84,18,165.5,0,5000,1,62,2,0,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0
911802,60855,2013-06-16 16:49:42,5,219,,,219,116545,2,3.5,1,0.69,,0.0,6,86.0,0,15675,4,8,3,0,1,0,,969.83,0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
3354904,225361,2013-01-16 10:30:05,5,219,,,219,120034,2,3.5,1,2.71,,3.9,28,58.0,0,12778,1,3,1,2,1,1,,660.81,0,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,0.0,0.0,,0,,0
1020290,68137,2013-04-19 14:00:03,5,219,,,219,140258,4,4.0,1,1.61,0.0426,5.17,22,119.0,0,3315,2,7,2,0,1,1,,129.35,1,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,1,,0
3548071,238250,2013-01-05 07:16:39,5,219,,,219,64170,3,4.0,1,3.4,0.0652,5.07,34,155.0,0,7342,1,177,4,0,1,0,,,1,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0,,0
1188440,79448,2013-01-30 14:28:32,5,212,,,31,121743,4,3.5,0,1.61,0.0077,4.76,3,98.0,0,8490,1,58,2,0,1,1,,,1,,,,,,,,,,,,,,,,,,,1.0,0.0,9.0,,,,0,,0
2957754,198644,2012-11-17 16:03:13,24,216,,,132,115074,2,0.0,0,3.61,0.0246,4.81,32,177.13,0,24296,1,3,1,0,1,0,,,0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0,,0
2866767,192537,2013-06-28 07:27:29,5,219,,,219,24294,3,4.5,1,1.39,0.0274,0.0,3,259.0,0,12638,2,21,2,3,1,1,,98.05,0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,,0
542601,36244,2013-05-15 13:08:56,5,219,,,219,56063,4,4.5,0,3.26,0.3246,5.92,6,366.0,0,12588,4,10,3,0,1,1,,961.64,0,,,,0.0,0.0,,0.0,0.0,,,,,,1.0,,,,,,,,1.0,0.0,13.0,0,,0
